Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
mummycalldesc,buffs,buffs,,,Your hear a strage voice in your head calling you,Escuchas una extra voz en tu cabeza que te esta llamando,Escuchas una extra voz en tu cabeza que te esta llamando
buffDefName,buffs,buffs,,,Defence Break,Defensa Rota,Defensa Rota
buffDefTool,buffs,buffs,,,Defence Break,Defensa Rota,Defensa Rota
buffDefDesc,buffs,buffs,,,Your defences and explosive resistance is lower by 10,Tus defensas y resistencia a explosivos son bajadas en 10%
buffDefTool,buffs,buffs,,,Taste the rainbow, Mot********r!!
buffRainTool,buffs,buffs,,,Taste the rainbow, Mot********r!!
buffRainDesc,buffs,buffs,,,Your vision is painted after tasting the rainbow,Tu visión se pinta después de probar el arcoíris.,Tu visión se pinta después de probar el arcoíris.
buffCowHeadName,buffs,name,,,"Cowhead's Curse",Maldicion del Cabeza de Vaca
buffCowHeadDesc,buffs,desc,,,"A cow head is comming for you, you will recibe extra damage from any type of damage","Una cabeza de vaca viene hacia ti, recibirás daño extra de cualquier tipo de daño"
buffCowHeadTool,buffs,tooltip,,,"You are being hunted",Estas siendo cazado
buffPhyscoName,buffs,tooltip,,,Psychotic aura,Aura psicótica
buffPhyscoDesc,buffs,tooltip,,,You are under a psychotic aura\nRandom effect will appear,Estas bajo un efecto psicótico
buffPyscoControlsName,buffs,buffs,,,Psychotic effect,Efecto psicótico
buffPyscoControlsDesc,buffs,buffs,,,You are under a psychotic effect,Estas bajo un efecto psicótico

cirujanocall,buffs,buffs,,,Breath deeply,Respire profundo,Respire profundo
cirujanonamecall,buffs,buffs,,,You feel healthy?,Te sientes sano?,Te sientes sano?
cirujanocalldesc,buffs,buffs,,,Your life is carefully taken by experts,Tu vida esta en manos expertas,Tu vida esta en manos expertas
samuraicall,buffs,buffs,,,Honour!,Honor!,Honor!
samurainamecall,buffs,buffs,,,Fight for honour,Lucha por el honor,Lucha por el honor
samuraicalldesc,buffs,buffs,,,You have been challenged by a strong enemy,Un adversario poderoso te ha desafiado,Un adversario poderoso te ha desafiado
spartancall,buffs,buffs,,,AU! AU! AU!,AU! AU! AU!,AU! AU! AU!
spartannamecall,buffs,buffs,,,SPARTAAAAANS!!,ESPARTANOOOOOS!!,ESPARTANOOOOOS!!
spartancalldesc,buffs,buffs,,,The battle is over until I say it's over,La batalla se acaba hasta que yo digo que se acaba.,La batalla se acaba hasta que yo digo que se acaba
mortevodacall,buffs,buffs,,,Sacrifice for peace,Sacrificio por paz,Sacrificio por paz
mortevodanamecall,buffs,buffs,,,Aquatic pressure,Presion acuatica,Presion acuatica
mortevodacalldesc,buffs,buffs,,,You are under a big pressure of water.,Estas bajo una enorme presion de agua.,Estas bajo una enorme presion de agua.
infernalcall,buffs,buffs,,,Humans shall perish.,Los humanos pereceran.,Los humanos pereceran.
infernalnamecall,buffs,buffs,,,Infernal's Fire,Fuego Infernal,Fuego Infernal
infernalcalldesc,buffs,buffs,,,The flames's inferno surround you.,Las llamas del infierno te rodean.,Las llamas del infierno te rodean.
hoarfrostcall,buffs,buffs,,,HERE'S JOHNNY!.,HERE'S JOHNNY!.,HERE'S JOHNNY!.
hoarfrostnamecall,buffs,buffs,,,Freezing air,Aire congelante,Aire congelante
hoarfrostcalldesc,buffs,buffs,,,You feel chills climbing through your spine until you FREEZE.,Sientes escalofrios subiendo por tu espalda hasta CONGELARTE.,Sientes escalofrios subiendo por tu espalda hasta CONGELARTE.
shockercall,buffs,buffs,,,Humans againts a GOD? Ridiculous, ¿Humanos contra un DIOS? Ridiculo, ¿Humanos contra un DIOS? Ridiculo
shockernamecall,buffs,buffs,,,Electrical area,Area electrica,Area electrica
shockercalldesc,buffs,buffs,,,The area around you make it harder to control yourself,Sientes una energia que te hace incontrolable, 
toxiccall,buffs,buffs,,, All lives should die, Toda vida debe morir, Toda vida debe morir
toxicnamecall,buffs,buffs,,,Poisonous air,Aire ponzoñosa,Aire ponzoñosa
toxiccalldesc,buffs,buffs,,,You are feeling weaker over the time. Run for your life.,Te debilitas conforme pasa el tiempo. Huye por ti vida.,Te debilitas conforme pasa el tiempo. Huye por ti vida.


quest_next_trader_response6,Quest,Quest Info,,,[[DECEA3]★[-]]Opening Trade Routes ([DECEA3]{goto.distance} {goto.direction}[-]),[[DECEA3]★[-]]Abrir rutas comerciales ([DECEA3]{goto.distance} {goto.direction}[-]),[[DECEA3]★[-]]Abrir rutas comerciales ([DECEA3]{goto.distance} {goto.direction}[-])
6quest_clear_response,Quest,Quest Info,,,[[DECEA3]★[-]]Clear Zombies ([DECEA3]{poi.distance} {poi.direction}[-]),[[DECEA3]★[-]]Elimina a los zombis[DECEA3]{poi.distance} {poi.direction}[-],[[DECEA3]★[-]]Elimina a los zombis[DECEA3]{poi.distance} {poi.direction}[-]

tierUnlock1,items,item,,,Unlock Quest Tier 2,Desbloqueador de Misiónes Tier 2,Desbloqueador de Misiónes Tier 2
tierUnlock2,items,item,,,Unlock Quest Tier 3,Desbloqueador de Misiónes Tier 3,Desbloqueador de Misiónes Tier 3
tierUnlock3,items,item,,,Unlock Quest Tier 4,Desbloqueador de Misiónes Tier 4,Desbloqueador de Misiónes Tier 4
tierUnlock4,items,item,,,Unlock Quest Tier 5,Desbloqueador de Misiónes Tier 5,Desbloqueador de Misiónes Tier 5
tierUnlock5,items,item,,,Unlock Quest Tier ★,Desbloqueador de Misiónes Tier ★,Desbloqueador de Misiónes Tier ★
tierUnlockALL,items,item,,,Unlock All Quest Tiers ★★★,Desbloqueador de todas las Misiónes ★★★,Desbloqueador de todas las Misiónes ★★★
tierUnlockBundle,items,item,,,Unlock Quest Bundle Pack,Paquete desbloqueador de todas Misiónes,Paquete desbloqueador de de todas Misiónes


unlockTierSub1,quests,unlocker,,,Quest Tier 2 unlocked,Misiónes Tier 2 desbloqueadas,Misiónes Tier 2 desbloqueadas
unlockTierSub2,quests,unlocker,,,Quest Tier 3 unlocked,Misiónes Tier 3 desbloqueadas,Misiónes Tier 3 desbloqueadas
unlockTierSub3,quests,unlocker,,,Quest Tier 4 unlocked,Misiónes Tier 4 desbloqueadas,Misiónes Tier 4 desbloqueadas
unlockTierSub4,quests,unlocker,,,Quest Tier 5 unlocked,Misiónes Tier 5 desbloqueadas,Misiónes Tier 5 desbloqueadas
unlockTierSub5,quests,unlocker,,,Quest Tier ★ unlocked,Misiónes Tier ★ desbloqueadas,Misiónes Tier ★ desbloqueadas
unlockTierSubALL,quests,unlocker,,,All quest Tier 2 unlocked,Todos los Tier de Misiónes desbloqueados,Todos los Tier de Misiónes desbloqueados

unlockTierName1,quests,unlocker,,,Quest Tier 2 Unlocker,Desbloqueador de Misiónes Tier 2.,Desbloqueador de Misiónes Tier 2.
unlockTierName2,quests,unlocker,,,Quest Tier 3 Unlocker,Desbloqueador de Misiónes Tier 3.,Desbloqueador de Misiónes Tier 3.
unlockTierName3,quests,unlocker,,,Quest Tier 4 Unlocker,Desbloqueador de Misiónes Tier 4.,Desbloqueador de Misiónes Tier 4.
unlockTierName4,quests,unlocker,,,Quest Tier 5 Unlocker,Desbloqueador de Misiónes Tier 5.,Desbloqueador de Misiónes Tier 5.
unlockTierName5,quests,unlocker,,,Quest Tier ★ Unlocker,Desbloqueador de Misiónes Tier ★.,Desbloqueador de Misiónes Tier ★.
unlockTierNameALL,quests,unlocker,,,All quest Tier Unlocker.,Desbloqueador de todos los Tier de Misiónes.,Desbloqueador de todos los Tier de Misiónes.

unlockTierDesc,quests,unlocker,,,This quest unlocks the next tier of trader's quest,Esta Misión desbloquea el siguiente tier de las misiones de los mercaderes,Esta mision desbloquea el siguiente tier de las misiones de los mercaderes
unlockTierOffer,quests,unlocker,,,Using this item is the same as doing 10 mision of the tier in question.,Usar este item es como hacer 10 misiones de tier en cuestion.,Usar este item es como hacer 10 misiones de tier en cuestion.
unlockTierOfferALL,quests,unlocker,,,Using this item is the same as doing all mision to unlock the last tier.,Usar este item es como hacer todas las misiones para desbloquear el maximo tier de misiones.,Usar este item es como hacer todas las misiones para desbloquear el maximo tier de misiones.
tierUnlockALLdesc,items,unlocker,,,This item will unlock all tier quest,Este item desbloqueara todos los tier de misiones,Este item desbloqueara todos los tier de misiones
tierUnlockdesc,items,unlocker,,,This item will unlock next lvl tier quest,Este item desbloqueara las misiones del siguiente tier,Este item desbloqueara las misiones del siguiente tier

p_Hooligan_Force_1,items,book,,,Hooligan Force note first part,Primera parte de la nota de Hooligan force,Primera parte de la nota de Hooligan force
p_Hooligan_Force_2,items,book,,,Hooligan Force note second part,Segunda parte de la nota de Hooligan force,Segunda parte de la nota de Hooligan force
HFPart1,items,book,,,"La primera parte de una nota que parece indicar unas coordenadas y enfrentamientos."
HFPart2,items,book,,,"La segunda parte de una nota que parece indicar unas coordenadas y enfrentamientos."

HvInfernalCop,entityclasses,entityclasses,,,[Infernal] Fat Cop,[Infernal] Policia,[Infernal] Policia
HvInfernalSolider,entityclasses,entityclasses,,,[Infernal] Soldier,[Infernal] Soldado,[Infernal] Soldado
HvInfernalHawai,entityclasses,entityclasses,,,[Infernal] Fat hawaiian,[Infernal] Gordo hawaiano,[Infernal] Gordo hawaiano
HvInfernalSkater,entityclasses,entityclasses,,,[Infernal] Skater,[Infernal] Skater,[Infernal] Skater
HvInfernalFeral,entityclasses,entityclasses,,,[Infernal] Feral,[Infernal] Feral,[Infernal] Feral
HvInfernalBoomer,entityclasses,entityclasses,,,[Infernal] Bomber,[Infernal] Bomber,[Infernal] Bomber
HvInfernalTom,entityclasses,entityclasses,,,[Infernal] Tom,[Infernal] Granjero,[Infernal] Granjero
HvInfernalBurn,entityclasses,entityclasses,,,[Infernal] Snow,[Infernal] Leñador congelado,[Infernal] Leñador congelado
HvInfernalSpider,entityclasses,entityclasses,,,[Infernal] Spider,[Infernal] Araña,[Infernal] Araña
HvInfernalNurse,entityclasses,entityclasses,,,[Infernal] Nurse,[Infernal] Enfermera,[Infernal] Enfermera
HvInfernalMaleHazmat,entityclasses,entityclasses,,,[Infernal] MaleHazmat,[Infernal] Anti radiación,[Infernal] Anti radiación
HvHoarfrostCop,entityclasses,entityclasses,,,[Hoarfrost] Fat Cop,[Hoarfrost] Policia,[Hoarfrost] Policia
HvHoarfrostSolider,entityclasses,entityclasses,,,[Hoarfrost] Soldier,[Hoarfrost] Soldado,[Hoarfrost] Soldado
HvHoarfrostHawai,entityclasses,entityclasses,,,[Hoarfrost] Fat hawaiian,[Hoarfrost] Gordo hawaiano,[Hoarfrost] Gordo hawaiano
HvHoarfrostSkater,entityclasses,entityclasses,,,[Hoarfrost] Skater,[Hoarfrost] Skater,[Hoarfrost] Skater
HvHoarfrostFeral,entityclasses,entityclasses,,,[Hoarfrost] Feral,[Hoarfrost] Feral,[Hoarfrost] Feral
HvHoarfrostBoomer,entityclasses,entityclasses,,,[Hoarfrost] Bomber,[Hoarfrost] Bomber,[Hoarfrost] Bomber
HvHoarfrostTom,entityclasses,entityclasses,,,[Hoarfrost] Tom,[Hoarfrost] Granjero,[Hoarfrost] Granjero
HvHoarfrostBurn,entityclasses,entityclasses,,,[Hoarfrost] Snow,[Hoarfrost] Leñador congelado,[Hoarfrost] Leñador congelado
HvHoarfrostSpider,entityclasses,entityclasses,,,[Hoarfrost] Spider,[Hoarfrost] Araña,[Hoarfrost] Araña
HvHoarfrostNurse,entityclasses,entityclasses,,,[Hoarfrost] Nurse,[Hoarfrost] Enfermera,[Hoarfrost] Enfermera
HvHoarfrostMaleHazmat,entityclasses,entityclasses,,,[Hoarfrost] MaleHazmat,[Hoarfrost] Anti radiación,[Hoarfrost] Anti radiación
HvMortevodaCop,entityclasses,entityclasses,,,[Mortevoda] Fat Cop,[Mortevoda] Policia,[Mortevoda] Policia
HvMortevodaSolider,entityclasses,entityclasses,,,[Mortevoda] Soldier,[Mortevoda] Soldado,[Mortevoda] Soldado
HvMortevodaHawai,entityclasses,entityclasses,,,[Mortevoda] Fat hawaiian,[Mortevoda] Gordo hawaiano,[Mortevoda] Gordo hawaiano
HvMortevodaSkater,entityclasses,entityclasses,,,[Mortevoda] Skater,[Mortevoda] Skater,[Mortevoda] Skater
HvMortevodaFeral,entityclasses,entityclasses,,,[Mortevoda] Feral,[Mortevoda] Feral,[Mortevoda] Feral
HvMortevodaBoomer,entityclasses,entityclasses,,,[Mortevoda] Bomber,[Mortevoda] Bomber,[Mortevoda] Bomber
HvMortevodaTom,entityclasses,entityclasses,,,[Mortevoda] Tom,[Mortevoda] Granjero,[Mortevoda] Granjero
HvMortevodaBurn,entityclasses,entityclasses,,,[Mortevoda] Snow,[Mortevoda] Leñador congelado,[Mortevoda] Leñador congelado
HvMortevodaSpider,entityclasses,entityclasses,,,[Mortevoda] Spider,[Mortevoda] Araña,[Mortevoda] Araña
HvMortevodaNurse,entityclasses,entityclasses,,,[Mortevoda] Nurse,[Mortevoda] Enfermera,[Mortevoda] Enfermera
HvMortevodaMaleHazmat,entityclasses,entityclasses,,,[Mortevoda] MaleHazmat,[Mortevoda] Anti radiación,[Mortevoda] Anti radiación
HvShockerCop,entityclasses,entityclasses,,,[Shocker] Fat Cop,[Shocker] Policia,[Shocker] Policia
HvShockerSolider,entityclasses,entityclasses,,,[Shocker] Soldier,[Shocker] Soldado,[Shocker] Soldado
HvShockerHawai,entityclasses,entityclasses,,,[Shocker] Fat hawaiian,[Shocker] Gordo hawaiano,[Shocker] Gordo hawaiano
HvShockerSkater,entityclasses,entityclasses,,,[Shocker] Skater,[Shocker] Skater,[Shocker] Skater
HvShockerFeral,entityclasses,entityclasses,,,[Shocker] Feral,[Shocker] Feral,[Shocker] Feral
HvShockerBoomer,entityclasses,entityclasses,,,[Shocker] Bomber,[Shocker] Bomber,[Shocker] Bomber
HvShockerTom,entityclasses,entityclasses,,,[Shocker] Tom,[Shocker] Granjero,[Shocker] Granjero
HvShockerBurn,entityclasses,entityclasses,,,[Shocker] Snow,[Shocker] Leñador congelado,[Shocker] Leñador congelado
HvShockerSpider,entityclasses,entityclasses,,,[Shocker] Spider,[Shocker] Araña,[Shocker] Araña
HvShockerNurse,entityclasses,entityclasses,,,[Shocker] Nurse,[Shocker] Enfermera,[Shocker] Enfermera
HvShockerMaleHazmat,entityclasses,entityclasses,,,[Shocker] MaleHazmat,[Shocker] Anti radiación,[Shocker] Anti radiación
HvEarthCop,entityclasses,entityclasses,,,[Terra] Fat Cop,[Terra] Policia,[Terra] Policia
HvEarthSoldier,entityclasses,entityclasses,,,[Terra] Soldier,[Terra] Soldado,[Terra] Soldado
HvEarthHawai,entityclasses,entityclasses,,,[Terra] Fat hawaiian,[Terra] Gordo hawaiano,[Terra] Gordo hawaiano
HvEarthSkater,entityclasses,entityclasses,,,[Terra] Skater,[Terra] Skater,[Terra] Skater
HvEarthFeral,entityclasses,entityclasses,,,[Terra] Feral,[Terra] Feral,[Terra] Feral
HvEarthBoomer,entityclasses,entityclasses,,,[Terra] Bomber,[Terra] Bomber,[Terra] Bomber
HvEarthTom,entityclasses,entityclasses,,,[Terra] Tom,[Terra] Granjero,[Terra] Granjero
HvEarthBurn,entityclasses,entityclasses,,,[Terra] Snow,[Terra] Leñador congelado,[Terra] Leñador congelado
HvEarthSpider,entityclasses,entityclasses,,,[Terra] Spider,[Terra] Araña,[Terra] Araña
HvEarthNurse,entityclasses,entityclasses,,,[Terra] Nurse,[Terra] Enfermera,[Terra] Enfermera
HvEarthMaleHazmat,entityclasses,entityclasses,,,[Terra] MaleHazmat,[Terra] Anti radiación,[Terra] Anti radiación

HvSBToxic,entityclasses,entityclasses,,,Toxic,Toxic,Toxico
HvSBNurse,entityclasses,entityclasses,,,Nurse,Nurse,Enfermera
questCDName,buff,buffinfo,,,Quest Could Down
questCDDesc,buff,buffinfo,,,This buff will not let you spam quest to prevent errors,Esta buff no te dejara spamear misiones para evitar errores,Esta buff no te dejara spamear misiones para evitar errores
Conejosaurio,entityclasses,entityclasses,,,Conejosaurio,Conejosaurio,Conejosaurio

sMats,uidisplay,categoria,,,Recompensas Especiales,Recompensas Especiales
specialMachine,block,crafthing,,,Maquina de Recompensas Zona Cero Bolivia,Maquina de Recompensas Zona Cero Bolivia
zonaCeroCoin,item,item,,,Zona Cero Coin,Zona Cero Coin
